鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路五段218巷38弄1~30號,41.52,住,Missing,Missing,1090210,土地3建物1車位4,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,250.86,2,2,2,有,有,25500000,101650,坡道平面,100.6,0,含增建或未登記建物。;,RPXOMLOKMHPFFAA48CA
萬華區,房地(土地+建物),臺北市萬華區長沙街二段61~90號,11.69,商,Missing,Missing,1090219,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950127,134.23,3,2,2,有,有,21680000,161514,Missing,0.0,0,含增建或未登記建物。;,RPRNMLOLLHPFFBA87CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.09,商,Missing,Missing,1090204,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,186.61,3,1,2,有,有,34329898,183966,坡道平面,46.87,0,向政府機關承購之案件。;,RPXOMLQLLHPFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區艋舺大道275巷1~30號,17.98,其他,Missing,Missing,1090202,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,154.01,3,2,2,有,有,26500000,172067,坡道平面,34.74,0,Missing,RPVOMLLMLHPFFBA18CA
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段8巷1~30號,41.0,商,Missing,Missing,1090108,土地2建物1車位6,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060411,559.5799999999999,0,0,0,無,有,126000000,295394,坡道平面,177.04,13000000,1.本案為毛胚屋。2.連件買賣案件。,RPVPMLRJMHPFFBA68CA
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.0,商,Missing,Missing,1090204,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,188.71,3,1,2,有,有,37567899,199077,坡道平面,46.87,0,向政府機關承購之案件。;,RPRNMLOKMHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,Missing,Missing,1090225,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.25,1,2,1,有,有,12500000,183150,Missing,0.0,0,Missing,RPXOMLLLMHPFFBA38CA
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷1~30號,70.85,住,Missing,Missing,1090223,土地1建物1車位3,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961204,406.73,3,2,2,有,有,126080000,386033,坡道平面,103.44,9000000,Missing,RPTPMLOLLHPFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,18.07,住,Missing,Missing,1090303,土地2建物1車位1,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,152.12,3,2,2,有,有,35900000,283761,坡道平面,35.12,2700000,Missing,RPPNMLTJMHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,16.97,其他,Missing,Missing,1090225,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,237.82999999999998,0,0,0,無,有,63600000,293920,坡道平面,29.1,2250000,1.毛胚屋,RPXPMLNKMHPFFCA68CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.11,商,Missing,Missing,1090223,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,90.08,1,1,1,有,有,19000000,210924,Missing,0.0,0,Missing,RPSPMLOKMHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,Missing,Missing,1090109,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.68,1,1,1,有,有,22800000,199217,坡道平面,41.04,2950000,Missing,RPPQMLOKMHPFFCA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,Missing,Missing,1090215,土地2建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,212.04,3,2,2,有,有,56000000,264101,坡道平面,38.1,0,Missing,RPVNMLQLLHPFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.98,住,Missing,Missing,1050809,土地1建物1車位2,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,288.6,3,2,2,有,有,43270000,181711,坡道平面,76.34,4700000,Missing,RPVPMLQLLHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,31.9,住,Missing,Missing,1041024,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,256.94,4,2,3,有,有,40000000,173927,坡道平面,38.17,1950000,Missing,RPWPMLQLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,23.15,住,Missing,Missing,1080617,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,196.86,3,2,2,有,有,29070000,168379,坡道平面,38.17,2350000,Missing,RPTOMLRLLHPFFEA78CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.16,住,Missing,Missing,1090205,土地4建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,176.17,3,2,2,有,有,62500000,452772,坡道平面,45.42,3300000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLTLLHPFFFA78CA
北投區,房地(土地+建物)+車位,臺北市北投區溫泉路37巷1~30號,11.41,住,Missing,Missing,1090211,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941111,74.94999999999999,1,2,1,有,有,7500000,121619,坡道機械,19.86,800000,含增建或未登記建物。,RPURMLQLLHPFFEA56DA
中山區,房地(土地+建物),臺北市中山區民權東路三段31~60號,8.05,商,Missing,Missing,1090228,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731109,71.7,2,2,1,有,有,16300000,227336,Missing,0.0,0,Missing,RPOOMLLJMHPFFCA47DA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,Missing,Missing,1090109,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29980000,184312,坡道平面,38.17,2300000,Missing,RPVOMLRLLHPFFEA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,Missing,Missing,1090103,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29600000,181116,坡道平面,38.17,2400000,Missing,RPWOMLRLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.51,住,Missing,Missing,1090127,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,247.38,4,2,2,有,有,44000000,198365,坡道平面,38.17,2500000,Missing,RPXOMLRLLHPFFEA56CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,57.11,住,Missing,Missing,1090224,土地1建物1車位2,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,399.59000000000003,3,2,2,有,有,73500000,183939,坡道平面,90.34,0,Missing,RPSNMLPKMHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區北寧路31~60號,9.04,住,Missing,Missing,1090312,土地3建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770701,82.1,2,1,1,有,有,21000000,255786,Missing,0.0,0,Missing,RPPOMLPLLHPFFDA08CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.65,商,Missing,Missing,1090225,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,77.62,1,1,41,有,有,15900000,204844,Missing,0.0,0,Missing,RPQQMLOKMHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,Missing,Missing,1090228,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.3,1,1,1,有,有,23300000,207536,坡道平面,41.04,2700000,Missing,RPTQMLOKMHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,8.95,商,Missing,Missing,1090304,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,131.12,1,1,1,有,有,21180000,208481,坡道平面,41.04,2400000,Missing,RPUPMLOKMHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段103巷119弄31~60號,35.5,住,Missing,Missing,1090216,土地2建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,221.6,3,3,3,有,有,26000000,117329,坡道平面,0.0,0,Missing,RPWOMLKMLHPFFCA28CA
內湖區,房地(土地+建物),臺北市內湖區星雲街150巷31~60號,12.89,住,Missing,Missing,1090219,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,55.150000000000006,3,2,2,有,有,14220000,257796,Missing,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLRJMHPFFCA68CA
文山區,房地(土地+建物)+車位,臺北市文山區和平東路四段66巷1~30號,101.02,住,Missing,Missing,1090203,土地2建物2車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860529,285.68,4,2,2,有,有,35000000,122515,坡道平面,46.64,0,親友、員工或其他特殊關係間之交易。;親友間之交易。,RPQOMLLJMHPFFAA37CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,Missing,Missing,1090215,土地2建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,212.04,3,2,2,有,有,56000000,264101,坡道平面,0.0,0,Missing,RPOOMLQJMHPFFEA08CA
